====== PRINT_BPTREE ======
FrequentPattern		Frequency
{chocolate bread, eggs} 2
{corn, eggs} 2
{eggs, mashed potato} 2
{eggs, pickles} 2
{eggs, shallot} 2
{burgers, cake, eggs, milk, mineral water} 3
{burgers, cake, eggs, pancakes, turkey} 3
{burgers, chocolate, eggs, french fries, spaghetti} 3
{burgers, chocolate, eggs, frozen vegetables, spaghetti} 3
{burgers, chocolate, eggs, grated cheese, spaghetti} 3
{burgers, chocolate, eggs, low fat yogurt, milk} 3
{burgers, chocolate, eggs, low fat yogurt, spaghetti} 3
{burgers, chocolate, eggs, milk, mineral water} 3
{burgers, chocolate, eggs, milk, shrimp} 3
{burgers, chocolate, eggs, mineral water, shrimp} 3
{burgers, chocolate, eggs, mineral water, spaghetti} 3
{burgers, chocolate, eggs, spaghetti, whole wheat rice} 3
{burgers, cookies, eggs, french fries, milk} 3
{burgers, eggs, french fries, frozen vegetables, mineral water} 3
{burgers, eggs, french fries, frozen vegetables, spaghetti} 3
{burgers, eggs, french fries, green tea, turkey} 3
{burgers, eggs, french fries, ham, low fat yogurt} 3
{burgers, eggs, french fries, low fat yogurt, spaghetti} 3
{burgers, eggs, french fries, milk, pancakes} 3
{burgers, eggs, french fries, milk, shrimp} 3
{burgers, eggs, french fries, mineral water, spaghetti} 3
{burgers, eggs, french fries, pancakes, spaghetti} 3
{burgers, eggs, fresh bread, milk, mineral water} 3
{burgers, eggs, fresh tuna, light mayo, pancakes} 3
{burgers, eggs, fresh tuna, pancakes, spaghetti} 3
{burgers, eggs, frozen smoothie, mineral water, pancakes} 3
{burgers, eggs, frozen vegetables, milk, mineral water} 3
{burgers, eggs, ground beef, mineral water, spaghetti} 3
{burgers, eggs, low fat yogurt, milk, spaghetti} 3
{cake, chicken, eggs, mineral water, spaghetti} 3
{cake, chocolate, eggs, french fries, spaghetti} 3
{cake, eggs, green tea, pancakes, turkey} 3
{cake, eggs, green tea, spaghetti, turkey} 3
{cake, eggs, mineral water, spaghetti, turkey} 3
{cake, eggs, pancakes, spaghetti, turkey} 3
{cereals, eggs, ground beef, mineral water, spaghetti} 3
{chicken, chocolate, eggs, french fries, milk} 3
{chicken, chocolate, eggs, milk, mineral water} 3
{chicken, chocolate, eggs, mineral water, spaghetti} 3
{chicken, eggs, french fries, grated cheese, milk} 3
{chicken, eggs, french fries, grated cheese, spaghetti} 3
{chicken, eggs, french fries, ground beef, mineral water} 3
{chicken, eggs, french fries, mineral water, turkey} 3
{chicken, eggs, grated cheese, milk, mineral water} 3
{chicken, eggs, grated cheese, milk, spaghetti} 3
{chicken, eggs, grated cheese, mineral water, spaghetti} 3
{chicken, eggs, milk, spaghetti, turkey} 3
{chocolate, cookies, eggs, green tea, spaghetti} 3
{chocolate, eggs, french fries, frozen vegetables, mineral water} 3
{chocolate, eggs, french fries, frozen vegetables, spaghetti} 3
{chocolate, eggs, french fries, green tea, ground beef} 3
{chocolate, eggs, french fries, green tea, milk} 3
{chocolate, eggs, french fries, ground beef, mineral water} 3
{chocolate, eggs, french fries, ham, milk} 3
{chocolate, eggs, french fries, milk, pancakes} 3
{chocolate, eggs, french fries, milk, tomatoes} 3
{chocolate, eggs, french fries, mineral water, soup} 3
{chocolate, eggs, french fries, pancakes, spaghetti} 3
{chocolate, eggs, fresh bread, frozen vegetables, white wine} 3
{chocolate, eggs, fresh bread, mineral water, white wine} 3
{chocolate, eggs, fresh bread, pancakes, spaghetti} 3
{chocolate, eggs, frozen smoothie, mineral water, spaghetti} 3
{chocolate, eggs, frozen vegetables, milk, mineral water} 3
{chocolate, eggs, frozen vegetables, milk, spaghetti} 3
{chocolate, eggs, frozen vegetables, mineral water, white wine} 3
{chocolate, eggs, frozen vegetables, pancakes, spaghetti} 3
{chocolate, eggs, grated cheese, ground beef, spaghetti} 3
{chocolate, eggs, ground beef, milk, spaghetti} 3
{chocolate, eggs, low fat yogurt, milk, spaghetti} 3
{chocolate, eggs, low fat yogurt, milk, tomatoes} 3
{chocolate, eggs, low fat yogurt, mineral water, spaghetti} 3
{chocolate, eggs, milk, mineral water, pancakes} 3
{chocolate, eggs, milk, mineral water, shrimp} 3
{chocolate, eggs, milk, pancakes, spaghetti} 3
{chocolate, eggs, mineral water, pasta, shrimp} 3
{chocolate, eggs, mineral water, salmon, spaghetti} 3
{chocolate, eggs, mineral water, shrimp, spaghetti} 3
{chocolate, eggs, mineral water, soup, spaghetti} 3
{cookies, eggs, french fries, green tea, spaghetti} 3
{cookies, eggs, french fries, milk, spaghetti} 3
{cookies, eggs, ground beef, mineral water, spaghetti} 3
{eggs, french fries, frozen smoothie, frozen vegetables, turkey} 3
{eggs, french fries, frozen vegetables, ground beef, spaghetti} 3
{eggs, french fries, frozen vegetables, milk, mineral water} 3
{eggs, french fries, frozen vegetables, mineral water, spaghetti} 3
{eggs, french fries, grated cheese, ground beef, spaghetti} 3
{eggs, french fries, grated cheese, mineral water, spaghetti} 3
{eggs, french fries, green tea, ground beef, spaghetti} 3
{eggs, french fries, ground beef, milk, spaghetti} 3
{eggs, french fries, ham, low fat yogurt, milk} 3
{eggs, french fries, ham, milk, spaghetti} 3
{eggs, french fries, low fat yogurt, milk, tomatoes} 3
{eggs, french fries, low fat yogurt, pancakes, spaghetti} 3
{eggs, french fries, milk, pancakes, shrimp} 3
{eggs, french fries, milk, spaghetti, tomatoes} 3
{eggs, french fries, milk, spaghetti, turkey} 3
{eggs, french fries, milk, spaghetti, whole wheat pasta} 3
{eggs, french fries, milk, tomatoes, turkey} 3
{eggs, french fries, mineral water, spaghetti, turkey} 3
{eggs, fresh bread, frozen vegetables, milk, mineral water} 3
{eggs, fresh bread, frozen vegetables, mineral water, white wine} 3
{eggs, frozen vegetables, green tea, ground beef, milk} 3
{eggs, frozen vegetables, green tea, ground beef, spaghetti} 3
{eggs, frozen vegetables, ground beef, milk, spaghetti} 3
{eggs, frozen vegetables, ground beef, milk, whole wheat pasta} 3
{eggs, frozen vegetables, ground beef, parmesan cheese, spaghetti} 3
{eggs, frozen vegetables, low fat yogurt, mineral water, pancakes} 3
{eggs, frozen vegetables, milk, mineral water, spaghetti} 3
{eggs, grated cheese, milk, mineral water, spaghetti} 3
{eggs, green tea, ground beef, mineral water, tomatoes} 3
{eggs, green tea, milk, spaghetti, turkey} 3
{eggs, ground beef, milk, spaghetti, turkey} 3
{eggs, ground beef, mineral water, spaghetti, whole wheat rice} 3
{eggs, low fat yogurt, milk, mineral water, pancakes} 3
{eggs, low fat yogurt, milk, mineral water, spaghetti} 3
{eggs, low fat yogurt, mineral water, pancakes, spaghetti} 3
{eggs, milk, mineral water, spaghetti, turkey} 3
{burgers, chocolate, eggs, french fries, low fat yogurt, milk} 3
{burgers, chocolate, eggs, french fries, milk, spaghetti} 3
{burgers, eggs, french fries, ham, low fat yogurt, milk} 3
{chicken, eggs, french fries, ground beef, milk, spaghetti} 3
{chicken, eggs, milk, mineral water, spaghetti, turkey} 3
{chocolate, eggs, french fries, low fat yogurt, milk, tomatoes} 3
{chocolate, eggs, fresh bread, frozen vegetables, mineral water, white wine} 3
{chocolate, eggs, grated cheese, ground beef, mineral water, spaghetti} 3
{eggs, french fries, low fat yogurt, milk, pancakes, spaghetti} 3
{eggs, low fat yogurt, milk, mineral water, pancakes, spaghetti} 3
{antioxydant juice, eggs} 4
{babies food, eggs} 4
{candy bars, eggs} 4
{chili, eggs} 4
{eggs, mayonnaise} 4
{eggs, oatmeal} 4
{eggs, shampoo} 4
{eggs, tea} 4
{almonds, cake, eggs} 4
{almonds, cookies, eggs} 4
{almonds, eggs, escalope} 4
{almonds, eggs, pancakes} 4
{almonds, eggs, whole wheat rice} 4
{avocado, eggs, french fries} 4
{avocado, eggs, ham} 4
{avocado, eggs, low fat yogurt} 4
{avocado, eggs, milk} 4
{avocado, eggs, whole wheat rice} 4
{bacon, burgers, eggs} 4
{bacon, eggs, green tea} 4
{bacon, eggs, mineral water} 4
{bacon, eggs, spaghetti} 4
{barbecue sauce, burgers, eggs} 4
{barbecue sauce, eggs, pancakes} 4
{black tea, burgers, eggs} 4
{black tea, eggs, low fat yogurt} 4
{black tea, eggs, whole wheat rice} 4
{blueberries, chicken, eggs} 4
{body spray, eggs, frozen smoothie} 4
{brownies, burgers, eggs} 4
{brownies, cake, eggs} 4
{brownies, cookies, eggs} 4
{brownies, cottage cheese, eggs} 4
{brownies, eggs, energy drink} 4
{brownies, eggs, fresh tuna} 4
{brownies, eggs, hot dogs} 4
{brownies, eggs, low fat yogurt} 4
{brownies, eggs, pancakes} 4
{brownies, eggs, tomatoes} 4
{burger sauce, eggs, mineral water} 4
{burgers, butter, eggs} 4
{burgers, eggs, fromage blanc} 4
{burgers, eggs, meatballs} 4
{burgers, eggs, mushroom cream sauce} 4
{burgers, eggs, parmesan cheese} 4
{burgers, eggs, red wine} 4
{burgers, eggs, tomato juice} 4
{burgers, eggs, vegetables mix} 4
{butter, eggs, frozen vegetables} 4
{butter, eggs, low fat yogurt} 4
{butter, eggs, mineral water} 4
{butter, eggs, tomatoes} 4
{cake, carrots, eggs} 4
{cake, eggs, fromage blanc} 4
{cake, eggs, green grapes} 4
{cake, eggs, hot dogs} 4
{cake, eggs, soup} 4
{carrots, eggs, mineral water} 4
{champagne, eggs, fresh tuna} 4
{champagne, eggs, ground beef} 4
{champagne, eggs, salmon} 4
{champagne, eggs, tomatoes} 4
{champagne, eggs, turkey} 4
{chicken, eggs, energy bar} 4
{chicken, eggs, shrimp} 4
{chicken, eggs, strawberries} 4
{chocolate, eggs, hot dogs} 4
{chocolate, eggs, parmesan cheese} 4
{chocolate, eggs, pasta} 4
{chocolate, eggs, protein bar} 4
{chocolate, eggs, rice} 4
{chocolate, eggs, tomato sauce} 4
{cider, eggs, green tea} 4
{cider, eggs, pancakes} 4
{cookies, eggs, ham} 4
{cookies, eggs, pancakes} 4
{cookies, eggs, shrimp} 4
{cookies, eggs, turkey} 4
{cookies, eggs, whole wheat rice} 4
{cottage cheese, eggs, fresh bread} 4
{cottage cheese, eggs, fresh tuna} 4
{cottage cheese, eggs, frozen vegetables} 4
{cottage cheese, eggs, ground beef} 4
{cottage cheese, eggs, hot dogs} 4
{cottage cheese, eggs, low fat yogurt} 4
{eggplant, eggs, french fries} 4
{eggplant, eggs, frozen vegetables} 4
{eggplant, eggs, spaghetti} 4
{eggs, energy bar, frozen vegetables} 4
{eggs, energy bar, mineral water} 4
{eggs, energy drink, green tea} 4
{eggs, energy drink, milk} 4
{eggs, energy drink, turkey} 4
{eggs, escalope, frozen smoothie} 4
{eggs, escalope, pepper} 4
{eggs, escalope, rice} 4
{eggs, escalope, turkey} 4
{eggs, extra dark chocolate, spaghetti} 4
{eggs, french fries, french wine} 4
{eggs, french fries, fromage blanc} 4
{eggs, french fries, gluten free bar} 4
{eggs, french fries, honey} 4
{eggs, french fries, melons} 4
{eggs, french fries, mint} 4
{eggs, french fries, mint green tea} 4
{eggs, french fries, parmesan cheese} 4
{eggs, french fries, pasta} 4
{eggs, french wine, frozen vegetables} 4
{eggs, french wine, green tea} 4
{eggs, french wine, ground beef} 4
{eggs, french wine, tomatoes} 4
{eggs, fresh bread, fresh tuna} 4
{eggs, fresh bread, grated cheese} 4
{eggs, fresh bread, mint} 4
{eggs, fresh bread, white wine} 4
{eggs, fresh tuna, fromage blanc} 4
{eggs, fresh tuna, frozen smoothie} 4
{eggs, fresh tuna, honey} 4
{eggs, fresh tuna, low fat yogurt} 4
{eggs, fromage blanc, frozen vegetables} 4
{eggs, fromage blanc, green tea} 4
{eggs, fromage blanc, salmon} 4
{eggs, frozen smoothie, ground beef} 4
{eggs, frozen smoothie, hot dogs} 4
{eggs, frozen smoothie, parmesan cheese} 4
{eggs, frozen smoothie, salmon} 4
{eggs, frozen vegetables, green grapes} 4
{eggs, frozen vegetables, honey} 4
{eggs, frozen vegetables, mint} 4
{eggs, frozen vegetables, red wine} 4
{eggs, frozen vegetables, salmon} 4
{eggs, gluten free bar, pancakes} 4
{eggs, grated cheese, gums} 4
{eggs, grated cheese, pepper} 4
{eggs, green beans, spaghetti} 4
{eggs, green grapes, vegetables mix} 4
{eggs, green tea, strawberries} 4
{eggs, ground beef, honey} 4
{eggs, ground beef, parmesan cheese} 4
{eggs, ground beef, protein bar} 4
{eggs, ground beef, tomato sauce} 4
{eggs, ground beef, white wine} 4
{eggs, gums, low fat yogurt} 4
{eggs, honey, salmon} 4
{eggs, light mayo, parmesan cheese} 4
{eggs, light mayo, turkey} 4
{eggs, low fat yogurt, salmon} 4
{eggs, low fat yogurt, soup} 4
{eggs, meatballs, spaghetti} 4
{eggs, meatballs, turkey} 4
{eggs, milk, mint} 4
{eggs, milk, muffins} 4
{eggs, milk, protein bar} 4
{eggs, milk, red wine} 4
{eggs, milk, soup} 4
{eggs, mineral water, parmesan cheese} 4
{eggs, muffins, pancakes} 4
{eggs, nonfat milk, spaghetti} 4
{eggs, pancakes, red wine} 4
{eggs, pancakes, tomato juice} 4
{eggs, pasta, turkey} 4
{eggs, pepper, red wine} 4
{eggs, pet food, spaghetti} 4
{eggs, protein bar, salmon} 4
{eggs, red wine, shrimp} 4
{eggs, soup, tomato juice} 4
{eggs, soup, whole wheat rice} 4
{eggs, spaghetti, tomato sauce} 4
{eggs, tomato juice, turkey} 4
{eggs, vegetables mix, whole wheat rice} 4
{almonds, burgers, eggs, french fries} 4
{blueberries, chicken, eggs, mineral water} 4
{body spray, eggs, mineral water, spaghetti} 4
{brownies, eggs, french fries, spaghetti} 4
{brownies, eggs, frozen vegetables, mineral water} 4
{burger sauce, chicken, eggs, mineral water} 4
{burgers, cake, eggs, green tea} 4
{burgers, cake, eggs, milk} 4
{burgers, chocolate, eggs, frozen vegetables} 4
{burgers, cookies, eggs, ham} 4
{burgers, cookies, eggs, mineral water} 4
{burgers, eggs, energy bar, french fries} 4
{burgers, eggs, french fries, ground beef} 4
{burgers, eggs, french fries, hot dogs} 4
{burgers, eggs, french fries, light mayo} 4
{burgers, eggs, french fries, turkey} 4
{burgers, eggs, fresh bread, mineral water} 4
{burgers, eggs, frozen vegetables, milk} 4
{burgers, eggs, grated cheese, mineral water} 4
{burgers, eggs, green tea, low fat yogurt} 4
{burgers, eggs, ground beef, turkey} 4
{burgers, eggs, ham, low fat yogurt} 4
{burgers, eggs, ham, spaghetti} 4
{burgers, eggs, light mayo, pancakes} 4
{burgers, eggs, milk, whole wheat rice} 4
{burgers, eggs, mineral water, shrimp} 4
{burgers, eggs, mineral water, tomatoes} 4
{burgers, eggs, mineral water, whole wheat rice} 4
{burgers, eggs, shrimp, spaghetti} 4
{butter, chocolate, eggs, spaghetti} 4
{butter, eggs, milk, pancakes} 4
{cake, chicken, eggs, turkey} 4
{cake, eggs, french fries, frozen smoothie} 4
{cake, eggs, french fries, mineral water} 4
{cake, eggs, french fries, spaghetti} 4
{cake, eggs, fresh tuna, pancakes} 4
{cake, eggs, frozen smoothie, mineral water} 4
{cake, eggs, ground beef, spaghetti} 4
{cake, eggs, milk, spaghetti} 4
{cake, eggs, mineral water, salmon} 4
{cereals, eggs, ground beef, mineral water} 4
{cereals, eggs, ground beef, spaghetti} 4
{cereals, eggs, mineral water, spaghetti} 4
{champagne, chocolate, eggs, french fries} 4
{chicken, chocolate, eggs, fresh bread} 4
{chicken, chocolate, eggs, frozen smoothie} 4
{chicken, eggs, fresh bread, milk} 4
{chicken, eggs, fresh bread, mineral water} 4
{chicken, eggs, frozen smoothie, mineral water} 4
{chicken, eggs, frozen vegetables, milk} 4
{chicken, eggs, grated cheese, milk} 4
{chicken, eggs, grated cheese, mineral water} 4
{chicken, eggs, grated cheese, spaghetti} 4
{chicken, eggs, meatballs, tomatoes} 4
{chicken, eggs, milk, pancakes} 4
{chocolate, cookies, eggs, ground beef} 4
{chocolate, eggs, escalope, french fries} 4
{chocolate, eggs, fresh bread, spaghetti} 4
{chocolate, eggs, frozen smoothie, milk} 4
{chocolate, eggs, frozen vegetables, green tea} 4
{chocolate, eggs, frozen vegetables, pancakes} 4
{chocolate, eggs, frozen vegetables, shrimp} 4
{chocolate, eggs, grated cheese, ground beef} 4
{chocolate, eggs, grated cheese, salmon} 4
{chocolate, eggs, green tea, ground beef} 4
{chocolate, eggs, ham, milk} 4
{chocolate, eggs, ham, mineral water} 4
{chocolate, eggs, ham, spaghetti} 4
{chocolate, eggs, low fat yogurt, tomatoes} 4
{chocolate, eggs, milk, shrimp} 4
{chocolate, eggs, milk, tomatoes} 4
{chocolate, eggs, mineral water, turkey} 4
{chocolate, eggs, pasta, shrimp} 4
{chocolate, eggs, soup, spaghetti} 4
{chocolate, eggs, spaghetti, whole wheat pasta} 4
{chocolate, eggs, spaghetti, whole wheat rice} 4
{cider, eggs, french fries, milk} 4
{cider, eggs, milk, spaghetti} 4
{cookies, eggs, french fries, spaghetti} 4
{cookies, eggs, green tea, milk} 4
{cookies, eggs, ground beef, tomatoes} 4
{cottage cheese, eggs, mineral water, pancakes} 4
{eggs, escalope, french fries, pancakes} 4
{eggs, french fries, frozen smoothie, frozen vegetables} 4
{eggs, french fries, frozen smoothie, milk} 4
{eggs, french fries, frozen smoothie, spaghetti} 4
{eggs, french fries, frozen vegetables, ground beef} 4
{eggs, french fries, grated cheese, mineral water} 4
{eggs, french fries, ground beef, milk} 4
{eggs, french fries, ground beef, tomatoes} 4
{eggs, french fries, ham, low fat yogurt} 4
{eggs, french fries, milk, shrimp} 4
{eggs, french fries, milk, whole wheat pasta} 4
{eggs, french fries, mineral water, pancakes} 4
{eggs, french fries, mineral water, soup} 4
{eggs, french fries, mineral water, tomatoes} 4
{eggs, french fries, mineral water, vegetables mix} 4
{eggs, french fries, spaghetti, tomatoes} 4
{eggs, french fries, spaghetti, whole wheat rice} 4
{eggs, french wine, milk, mineral water} 4
{eggs, french wine, mineral water, spaghetti} 4
{eggs, fresh bread, frozen vegetables, turkey} 4
{eggs, fresh bread, ground beef, milk} 4
{eggs, fresh bread, ground beef, mineral water} 4
{eggs, fresh tuna, low fat yogurt, mineral water} 4
{eggs, fresh tuna, pancakes, spaghetti} 4
{eggs, frozen smoothie, frozen vegetables, tomatoes} 4
{eggs, frozen smoothie, frozen vegetables, turkey} 4
{eggs, frozen smoothie, green tea, light mayo} 4
{eggs, frozen smoothie, green tea, mineral water} 4
{eggs, frozen vegetables, grated cheese, mineral water} 4
{eggs, frozen vegetables, green tea, mineral water} 4
{eggs, frozen vegetables, light mayo, tomatoes} 4
{eggs, frozen vegetables, mineral water, pancakes} 4
{eggs, frozen vegetables, mineral water, soup} 4
{eggs, frozen vegetables, mineral water, turkey} 4
{eggs, frozen vegetables, mineral water, vegetables mix} 4
{eggs, frozen vegetables, pancakes, spaghetti} 4
{eggs, frozen vegetables, shrimp, spaghetti} 4
{eggs, grated cheese, mineral water, salmon} 4
{eggs, grated cheese, pancakes, spaghetti} 4
{eggs, green tea, ground beef, milk} 4
{eggs, green tea, mineral water, whole wheat rice} 4
{eggs, green tea, pancakes, spaghetti} 4
{eggs, green tea, pancakes, turkey} 4
{eggs, green tea, red wine, spaghetti} 4
{eggs, green tea, tomato juice, tomatoes} 4
{eggs, ground beef, milk, turkey} 4
{eggs, ground beef, mineral water, red wine} 4
{eggs, ground beef, mineral water, tomato sauce} 4
{eggs, ground beef, parmesan cheese, spaghetti} 4
{eggs, ground beef, red wine, spaghetti} 4
{eggs, ground beef, shrimp, spaghetti} 4
{eggs, ground beef, spaghetti, tomatoes} 4
{eggs, ground beef, spaghetti, turkey} 4
{eggs, ham, low fat yogurt, milk} 4
{eggs, ham, milk, pancakes} 4
{eggs, ham, mineral water, spaghetti} 4
{eggs, honey, spaghetti, turkey} 4
{eggs, light mayo, mineral water, pancakes} 4
{eggs, low fat yogurt, pancakes, spaghetti} 4
{eggs, low fat yogurt, spaghetti, turkey} 4
{eggs, milk, mineral water, whole wheat rice} 4
{eggs, milk, pancakes, shrimp} 4
{eggs, milk, shrimp, spaghetti} 4
{eggs, milk, spaghetti, tomatoes} 4
{eggs, mineral water, pancakes, pepper} 4
{eggs, mineral water, pancakes, tomatoes} 4
{eggs, mineral water, pancakes, whole wheat rice} 4
{eggs, mineral water, red wine, spaghetti} 4
{eggs, mineral water, tomatoes, whole wheat rice} 4
{eggs, spaghetti, tomatoes, turkey} 4
{burgers, chocolate, eggs, french fries, low fat yogurt} 4
{burgers, chocolate, eggs, shrimp, spaghetti} 4
{burgers, eggs, french fries, ham, milk} 4
{burgers, eggs, french fries, low fat yogurt, milk} 4
{burgers, eggs, french fries, milk, mineral water} 4
{burgers, eggs, ham, low fat yogurt, milk} 4
{burgers, eggs, low fat yogurt, milk, mineral water} 4
{cake, chicken, eggs, milk, mineral water} 4
{cake, chicken, eggs, milk, turkey} 4
{cake, chicken, eggs, mineral water, turkey} 4
{cake, eggs, milk, spaghetti, turkey} 4
{chicken, chocolate, eggs, french fries, mineral water} 4
{chicken, chocolate, eggs, frozen vegetables, mineral water} 4
{chicken, eggs, french fries, ground beef, milk} 4
{chicken, eggs, french fries, ground beef, spaghetti} 4
{chicken, eggs, french fries, milk, mineral water} 4
{chicken, eggs, french fries, milk, spaghetti} 4
{chicken, eggs, ground beef, milk, spaghetti} 4
{chicken, eggs, milk, mineral water, spaghetti} 4
{chocolate, eggs, french fries, frozen vegetables, milk} 4
{chocolate, eggs, french fries, low fat yogurt, tomatoes} 4
{chocolate, eggs, french fries, milk, mineral water} 4
{chocolate, eggs, french fries, mineral water, spaghetti} 4
{chocolate, eggs, fresh bread, frozen vegetables, mineral water} 4
{chocolate, eggs, frozen vegetables, ground beef, mineral water} 4
{chocolate, eggs, grated cheese, ground beef, mineral water} 4
{chocolate, eggs, grated cheese, mineral water, spaghetti} 4
{chocolate, eggs, ground beef, pancakes, spaghetti} 4
{chocolate, eggs, milk, mineral water, spaghetti} 4
{chocolate, eggs, mineral water, pancakes, spaghetti} 4
{cookies, eggs, french fries, green tea, milk} 4
{eggs, french fries, green tea, milk, spaghetti} 4
{eggs, french fries, ham, milk, pancakes} 4
{eggs, french fries, low fat yogurt, milk, pancakes} 4
{eggs, french fries, low fat yogurt, milk, spaghetti} 4
{eggs, french fries, milk, mineral water, spaghetti} 4
{eggs, frozen vegetables, low fat yogurt, milk, mineral water} 4
{eggs, ground beef, milk, mineral water, spaghetti} 4
{eggs, low fat yogurt, milk, pancakes, spaghetti} 4
{eggs, milk, mineral water, pancakes, spaghetti} 4
{cauliflower, eggs} 5
{clothes accessories, eggs} 5
{eggs, mint green tea} 5
{eggs, soda} 5
{eggs, sparkling water} 5
{almonds, eggs, frozen vegetables} 5
{almonds, eggs, spaghetti} 5
{avocado, chicken, eggs} 5
{avocado, eggs, pancakes} 5
{bacon, eggs, french fries} 5
{black tea, eggs, milk} 5
{black tea, eggs, pancakes} 5
{brownies, chocolate, eggs} 5
{burgers, carrots, eggs} 5
{burgers, chicken, eggs} 5
{burgers, cider, eggs} 5
{burgers, eggs, energy drink} 5
{burgers, eggs, hot dogs} 5
{burgers, eggs, pasta} 5
{burgers, eggs, soup} 5
{butter, cake, eggs} 5
{butter, chicken, eggs} 5
{butter, eggs, ground beef} 5
{butter, eggs, turkey} 5
{cake, eggs, energy drink} 5
{cake, eggs, escalope} 5
{cake, eggs, fresh bread} 5
{cake, eggs, grated cheese} 5
{cake, eggs, light mayo} 5
{carrots, eggs, green tea} 5
{cereals, eggs, frozen vegetables} 5
{cereals, eggs, spaghetti} 5
{champagne, eggs, green tea} 5
{champagne, eggs, ham} 5
{chicken, eggs, fresh tuna} 5
{chicken, eggs, low fat yogurt} 5
{chicken, eggs, meatballs} 5
{chicken, eggs, salmon} 5
{chicken, eggs, whole wheat rice} 5
{chocolate, cider, eggs} 5
{chocolate, eggs, muffins} 5
{chocolate, eggs, mushroom cream sauce} 5
{chocolate, eggs, tomato juice} 5
{cider, eggs, mineral water} 5
{cookies, eggplant, eggs} 5
{cottage cheese, eggs, frozen smoothie} 5
{cottage cheese, eggs, green tea} 5
{cottage cheese, eggs, honey} 5
{cottage cheese, eggs, turkey} 5
{eggs, energy drink, mineral water} 5
{eggs, escalope, fresh tuna} 5
{eggs, escalope, grated cheese} 5
{eggs, escalope, low fat yogurt} 5
{eggs, flax seed, green tea} 5
{eggs, french fries, fresh tuna} 5
{eggs, french fries, green grapes} 5
{eggs, french fries, hot dogs} 5
{eggs, french fries, meatballs} 5
{eggs, french fries, protein bar} 5
{eggs, french wine, fresh bread} 5
{eggs, french wine, pancakes} 5
{eggs, french wine, turkey} 5
{eggs, fresh bread, green tea} 5
{eggs, fresh bread, tomato juice} 5
{eggs, fresh bread, tomatoes} 5
{eggs, fresh tuna, green tea} 5
{eggs, fresh tuna, turkey} 5
{eggs, frozen smoothie, shrimp} 5
{eggs, frozen vegetables, parmesan cheese} 5
{eggs, frozen vegetables, whole wheat pasta} 5
{eggs, grated cheese, low fat yogurt} 5
{eggs, grated cheese, turkey} 5
{eggs, green tea, ham} 5
{eggs, green tea, red wine} 5
{eggs, green tea, whole wheat pasta} 5
{eggs, ground beef, soup} 5
{eggs, ham, low fat yogurt} 5
{eggs, ham, whole wheat rice} 5
{eggs, honey, turkey} 5
{eggs, hot dogs, mineral water} 5
{eggs, hot dogs, spaghetti} 5
{eggs, light cream, spaghetti} 5
{eggs, light mayo, spaghetti} 5
{eggs, meatballs, milk} 5
{eggs, milk, pepper} 5
{eggs, milk, tomato juice} 5
{eggs, milk, vegetables mix} 5
{eggs, mineral water, nonfat milk} 5
{eggs, mineral water, pet food} 5
{eggs, mineral water, white wine} 5
{eggs, mushroom cream sauce, spaghetti} 5
{eggs, pancakes, soup} 5
{eggs, pancakes, vegetables mix} 5
{eggs, parmesan cheese, shrimp} 5
{eggs, pepper, turkey} 5
{eggs, red wine, salmon} 5
{eggs, salmon, shrimp} 5
{eggs, salmon, turkey} 5
{eggs, salmon, vegetables mix} 5
{eggs, shrimp, whole wheat rice} 5
{eggs, soup, turkey} 5
{almonds, burgers, eggs, mineral water} 5
{almonds, eggs, milk, mineral water} 5
{black tea, eggs, spaghetti, turkey} 5
{brownies, eggs, ground beef, mineral water} 5
{burgers, cake, eggs, turkey} 5
{burgers, chocolate, eggs, low fat yogurt} 5
{burgers, chocolate, eggs, shrimp} 5
{burgers, cookies, eggs, spaghetti} 5
{burgers, eggs, french fries, low fat yogurt} 5
{burgers, eggs, fresh tuna, pancakes} 5
{burgers, eggs, frozen smoothie, mineral water} 5
{burgers, eggs, frozen vegetables, spaghetti} 5
{burgers, eggs, green tea, turkey} 5
{burgers, eggs, ham, milk} 5
{burgers, eggs, light mayo, mineral water} 5
{burgers, eggs, low fat yogurt, mineral water} 5
{burgers, eggs, low fat yogurt, spaghetti} 5
{burgers, eggs, milk, shrimp} 5
{burgers, eggs, milk, turkey} 5
{burgers, eggs, pancakes, turkey} 5
{butter, chocolate, eggs, french fries} 5
{cake, chicken, eggs, milk} 5
{cake, chocolate, eggs, french fries} 5
{cake, eggs, green tea, mineral water} 5
{cake, eggs, green tea, pancakes} 5
{cake, eggs, green tea, turkey} 5
{cake, eggs, low fat yogurt, mineral water} 5
{cake, eggs, pancakes, spaghetti} 5
{chicken, chocolate, eggs, frozen vegetables} 5
{chicken, chocolate, eggs, milk} 5
{chicken, eggs, green tea, mineral water} 5
{chicken, eggs, ground beef, milk} 5
{chicken, eggs, ground beef, spaghetti} 5
{chicken, eggs, milk, turkey} 5
{chicken, eggs, mineral water, pancakes} 5
{chicken, eggs, spaghetti, turkey} 5
{chocolate, eggs, french fries, frozen smoothie} 5
{chocolate, eggs, french fries, grated cheese} 5
{chocolate, eggs, french fries, ham} 5
{chocolate, eggs, fresh bread, frozen vegetables} 5
{chocolate, eggs, frozen vegetables, ground beef} 5
{chocolate, eggs, green tea, mineral water} 5
